minNumObj,IncorrectlyClassified,mediumAsHigh,lowAsHigh,HighMisclassified,HighAsMedium,HighAsLow,Number of Leaves,Size of tree
1,16.01,56,1,141,141,0,18,35
2,15.9475,54,0,143,143,0,14,27
3,15.9475,53,0,143,142,1,19,37
4,16.9481,60,1,149,149,0,13,25
5,17.5109,67,1,152,152,0,13,25
6,17.8862,66,1,157,157,0,18,35
7,17.9487,58,0,165,165,0,18,35
8,17.9487,61,0,162,162,0,9,17
9,17.3233,53,1,160,160,0,8,15
10,17.3233,55,1,158,158,0,6,11
11,17.2608,55,1,158,158,0,6,11
12,17.636,64,1,154,154,0,6,11
13,17.3233,72,1,142,142,0,6,11
14,17.1982,69,1,143,143,0,8,15
15,17.3859,72,1,143,143,0,8,15
