Folds,IncorrectlyClassified,mediumAsHigh,lowAsHigh,HighMisclassified,HighAsMedium,HighAsLow,Number of Leaves,Size of tree
2,16.7605,49,1,154,154,0,8,15
3,15.9475,53,0,143,142,1,19,37
4,17.3233,68,0,140,140,0,36,71
5,17.3859,65,1,143,143,0,23,45
6,16.447,61,2,138,138,0,23,45
7,16.2602,52,0,145,144,1,27,53
8,16.823,47,1,152,152,0,11,21
9,16.2602,59,1,134,133,1,24,47
10,16.1976,55,0,140,140,0,20,39
11,16.01,44,0,148,148,0,25,49
12,17.0106,64,1,135,135,0,19,37
13,17.636,55,0,152,152,0,20,39
14,16.5729,56,1,144,144,0,12,23
15,16.1351,54,1,140,140,0,17,33
