minNumObj,IncorrectlyClassified,lowAsHigh,HighAsLow,Number of Leaves,Size of tree
1,26.7,199,228,26,51
2,27.01,197,235,24,47
3,26.89,205,225,28,55
4,26.82,200,229,26,51
5,27.64,218,224,26,51
6,27.82,217,228,24,47
7,28.2,218,233,16,31
8,28.14,212,238,16,31
9,28.64,219,239,16,31
10,28.2,226,225,16,31
11,27.82,221,224,15,29
12,27.57,223,218,15,29
13,27.64,217,225,15,29
14,27.95,218,229,15,29
15,27.39,238,200,12,23
16,27.51,233,207,12,23
17,28.21,234,217,12,23
18,27.95,234,213,11,21
19,27.76,235,209,9,17
20,27.64,229,213,9,17
21,28.08,216,233,9,17
22,28.02,214,234,7,13
23,28.21,204,247,7,13
24,27.83,198,247,7,13
25,27.58,210,231,7,13
26,27.83,205,240,7,13
27,27.46,205,234,7,13
28,27.33,208,229,7,13
29,28.21,225,226,7,13
30,28.33,227,226,7,13
31,28.27,223,229,7,13
32,28.33,219,234,7,13
33,27.95,214,233,7,13
34,28.33,215,238,7,13
35,28.21,224,227,7,13
